ProjID,market,leaseup_months,stabilized,Name,Submarket,Quantity,AreaPerUnit,occ_velocity,concession_burn_rate,rent_gap_vs_submarket,grade_score,delivery_era,delivery_season,log_quantity,season_enc,era_enc,market_enc
10255043,"Austin-Round Rock, TX",4.0,True,22 North Apartments,Cedar Park,240,1098,0.04033333333333333,-0.0415050426687355,-158.0,6.0,Expansion,Spring,5.480638923341991,0,2,1
19148,"Austin-Round Rock, TX",12.0,True,3500 Westlake,Southwest Austin,175,1155,0.04966666666666667,0.020821085635900415,711.5,3.0,Pre-GFC,Spring,5.1647859739235145,0,0,1
48136,"Austin-Round Rock, TX",15.0,True,422 At The Lake,South Austin,207,816,0.082,-0.003521632579640414,676.0,1.0,Expansion,Spring,5.332718793265369,0,2,1
19625,"Austin-Round Rock, TX",8.0,True,5th Street Commons,Downtown/University,150,864,0.07533333333333332,-0.005320637057005775,4.0,4.0,Pre-GFC,Winter,5.0106352940962555,3,0,1
53901,"Austin-Round Rock, TX",13.0,True,7East,East Austin,186,750,0.051333333333333335,-0.002870071662317253,696.0,1.0,Expansion,Summer,5.225746673713202,1,2,1
37301,"Austin-Round Rock, TX",13.0,True,95 Twenty,Cedar Park,334,924,0.07200000000000001,-0.0003632225042146771,79.0,1.0,Recovery,Summer,5.811140992976701,1,1,1
27065,"Austin-Round Rock, TX",8.0,True,Agave at South Congress,Far South Austin,195,934,0.056333333333333326,0.011715296198054824,355.0,1.0,Recovery,Spring,5.272999558563747,0,1,1
91974,"Austin-Round Rock, TX",,False,Alexan Garza Ranch,Southwest Austin,370,878,0.06133333333333333,0.00040640500582349765,17.5,,Expansion,Fall,5.91350300563827,2,2,1
91008,"Austin-Round Rock, TX",7.0,True,Altair Tech Ridge,North Central Austin,230,950,0.07233333333333333,-0.007912339439433015,278.5,3.0,Expansion,Winter,5.438079308923196,3,2,1
46261,"Austin-Round Rock, TX",20.0,True,Altis Lakeline,Cedar Park,354,985,0.04566666666666667,0.0033999204096806963,184.0,4.0,Expansion,Fall,5.869296913133774,2,2,1
19410,"Austin-Round Rock, TX",19.0,True,AMLI 300,Downtown/University,154,973,0.06733333333333334,0.008714883757668318,550.0,2.0,Pre-GFC,Spring,5.0369526024136295,0,0,1
34139,"Austin-Round Rock, TX",5.0,True,AMLI 5350,Near North Austin,175,832,0.0040000000000000036,-0.003965942812768658,573.0,1.0,Recovery,Spring,5.1647859739235145,0,1,1
38303,"Austin-Round Rock, TX",9.0,True,AMLI at Mueller,East Austin,280,819,0.11633333333333333,-3.854941057726238e-19,600.0,1.0,Expansion,Spring,5.634789603169249,0,2,1
60618,"Austin-Round Rock, TX",16.0,True,AMLI Covered Bridge,Southwest Austin,360,981,0.030666666666666665,0.004212049012933969,168.0,3.0,Expansion,Fall,5.886104031450156,2,2,1
18255,"Austin-Round Rock, TX",16.0,True,AMLI Eastside,East Austin,290,956,0.013666666666666641,0.010429638854296375,982.0,1.0,Pre-GFC,Spring,5.66988092298052,0,0,1
19035,"Austin-Round Rock, TX",5.0,True,AMLI on 2ND,Downtown/University,231,898,0.09499999999999997,0.016626389560174003,1017.0,1.0,Pre-GFC,Spring,5.442417710521793,0,0,1
64806,"Austin-Round Rock, TX",11.0,True,AMLI on Aldrich,East Austin,318,1006,0.03,0.0055085110330894225,984.0,1.0,Expansion,Fall,5.762051382780177,2,2,1
34038,"Austin-Round Rock, TX",19.0,True,AMLI South Shore,Riverside,375,887,0.02666666666666667,-0.0043827889782385,647.0,1.0,Recovery,Spring,5.926926025970411,0,1,1
82358,"Austin-Round Rock, TX",,False,AMLI South Shore II,Riverside,68,1249,0.0,0.0127227553118575,1420.0,,COVID,Summer,4.219507705176107,1,3,1
