ProjID,Name,market,leaseup_months,rent_at_delivery,rent_at_stab,total_growth_pct,negative_growth,any_mom_decline
10255043,22 North Apartments,"Austin-Round Rock, TX",4.0,1075.0,1341.0,24.74,False,True
19148,3500 Westlake,"Austin-Round Rock, TX",12.0,1695.0,1276.0,-24.72,True,True
48136,422 At The Lake,"Austin-Round Rock, TX",15.0,2014.0,2100.0,4.27,False,True
19625,5th Street Commons,"Austin-Round Rock, TX",8.0,1473.0,1652.0,12.15,False,True
53901,7East,"Austin-Round Rock, TX",13.0,1655.0,1741.0,5.2,False,True
37301,95 Twenty,"Austin-Round Rock, TX",13.0,1068.0,1121.0,4.96,False,True
27065,Agave at South Congress,"Austin-Round Rock, TX",8.0,1131.0,1025.0,-9.37,True,True
91008,Altair Tech Ridge,"Austin-Round Rock, TX",7.0,1271.0,1410.0,10.94,False,True
46261,Altis Lakeline,"Austin-Round Rock, TX",20.0,1358.0,1287.0,-5.23,True,True
19410,AMLI 300,"Austin-Round Rock, TX",19.0,2012.0,1668.0,-17.1,True,True
34139,AMLI 5350,"Austin-Round Rock, TX",5.0,1330.0,1345.0,1.13,False,True
38303,AMLI at Mueller,"Austin-Round Rock, TX",9.0,1529.0,1671.0,9.29,False,True
60618,AMLI Covered Bridge,"Austin-Round Rock, TX",16.0,1449.0,1370.0,-5.45,True,True
18255,AMLI Eastside,"Austin-Round Rock, TX",16.0,1606.0,1338.0,-16.69,True,True
19035,AMLI on 2ND,"Austin-Round Rock, TX",5.0,2479.0,1897.0,-23.48,True,True
64806,AMLI on Aldrich,"Austin-Round Rock, TX",11.0,2074.0,1992.0,-3.95,True,True
34038,AMLI South Shore,"Austin-Round Rock, TX",19.0,1266.0,1504.0,18.8,False,True
53644,Anatole at Westinghouse,"Austin-Round Rock, TX",8.0,1109.0,1049.0,-5.41,True,True
53307,Arrington Ridge,"Austin-Round Rock, TX",17.0,1066.0,1143.0,7.22,False,True
44494,Ascent Arboretum,"Austin-Round Rock, TX",22.0,1419.0,1385.0,-2.4,True,True
26436,Ashton Austin,"Austin-Round Rock, TX",13.0,2959.0,2795.0,-5.54,True,True
57105,Aura 33Hundred,"Austin-Round Rock, TX",10.0,1211.0,1184.0,-2.23,True,True
19145,Autumn Ranch on Swenson Farms,"Austin-Round Rock, TX",16.0,895.0,1036.0,15.75,False,True
19373,Avanti Hills at the Galleria,"Austin-Round Rock, TX",25.0,1181.0,1086.0,-8.04,True,True
52711,Azul Lakeshore,"Austin-Round Rock, TX",19.0,1623.0,1628.0,0.31,False,True
58032,Bartz Ranch,"Austin-Round Rock, TX",13.0,1322.0,1225.0,-7.34,True,True
52209,Bell at Four Points,"Austin-Round Rock, TX",24.0,1382.0,1405.0,1.66,False,True
19962,Bell at Teravista,"Austin-Round Rock, TX",9.0,797.0,774.0,-2.89,True,True
35687,Bell Austin Southwest,"Austin-Round Rock, TX",8.0,1167.0,1207.0,3.43,False,True
26420,Bell Hill Country,"Austin-Round Rock, TX",5.0,973.0,954.0,-1.95,True,True
43125,Bell Quarry Hill,"Austin-Round Rock, TX",5.0,1108.0,1143.0,3.16,False,True
37407,Bell South Lamar,"Austin-Round Rock, TX",31.0,1573.0,1659.0,5.47,False,True
86202,Bell Southpark,"Austin-Round Rock, TX",12.0,1314.0,1395.0,6.16,False,True
38381,Bell Steiner Ranch,"Austin-Round Rock, TX",14.0,1402.0,1455.0,3.78,False,True
45569,Belterra Springs,"Austin-Round Rock, TX",12.0,1407.0,1366.0,-2.91,True,True
50902,Berkshire Lakeway,"Austin-Round Rock, TX",12.0,1582.0,1615.0,2.09,False,True
45127,Bexley 3Five,"Austin-Round Rock, TX",13.0,1293.0,1243.0,-3.87,True,True
19170,Bexley at Silverado,"Austin-Round Rock, TX",13.0,931.0,839.0,-9.88,True,True
